,name,link,origin,birth,origin_point,birth_point,spotify_id,genre
102,Bob Dylan,/wiki/Bob_Dylan,,"Duluth, Minnesota",POINT (100.77522 18.776703),POINT (-92.124905 46.798069),74ASZWbe4lXaubB36ztrGX,folk
103,Eddie from Ohio,/wiki/Eddie_from_Ohio,"Virginia, United States",,POINT (-78.376655 37.73086),POINT (100.77522 18.776703),2DVqRDtPOOCl9gbzlhJkZg,folk
104,Cass Elliot,/wiki/Cass_Elliot,,Baltimore,POINT (100.77522 18.776703),POINT (-76.649533 39.319732),5jX7X3kRkfJTRqAdT7RcHk,folk
105,Ramblin' Jack Elliott,/wiki/Ramblin%27_Jack_Elliott,"Brooklyn, New York, United States",,POINT (-73.956582 40.652256),POINT (100.77522 18.776703),6iuM8yp1x2N0l6SONhyq4b,folk
106,Mark Erelli,/wiki/Mark_Erelli,,"Boston, Massachusetts",POINT (100.77522 18.776703),POINT (-71.048611 42.355492),7s3wus2jgjwHQXjFXAQfB2,folk
107,John Fahey,/wiki/John_Fahey_(musician),,"Washington, D.C.",POINT (100.77522 18.776703),POINT (-77.01712 38.82652),4js8BDiQwnHLlDmT1shPH7,folk
108,Mimi Fariña,/wiki/Mimi_Fari%C3%B1a,,Palo Alto,POINT (100.77522 18.776703),POINT (-122.127302 37.431169),3CCf0ToNoY3qXMCnVJrSop,folk
109,Richard Fariña,/wiki/Richard_Fari%C3%B1a,,New York City,POINT (100.77522 18.776703),POINT (-73.9708 40.68295),2mQkR9H7yBeT3tJ9vaGPjp,folk
110,Anne Feeney,/wiki/Anne_Feeney,,"Charleroi, Pennsylvania",POINT (100.77522 18.776703),POINT (-79.900053 40.138192),2py8XT26ENqhTZFgDB32oy,folk
111,Melissa Ferrick,/wiki/Melissa_Ferrick,"Ipswich, Massachusetts, United States",,POINT (-70.83094 42.707694),POINT (100.77522 18.776703),6t9IqIePOaGmN4dsL5qQgS,folk
112,Steve Forbert,/wiki/Steve_Forbert,,"Meridian, Mississippi",POINT (100.77522 18.776703),POINT (-88.704986 32.384975),3oAbjWINfcTSAuVUlXXMty,folk
113,Mark Fosson,/wiki/Mark_Fosson,Eastern Kentucky,,POINT (-82.80599 37.51704),POINT (100.77522 18.776703),1EbntFgtNs5xb6RCa7czk6,folk
114,Jeffrey Foucault,/wiki/Jeffrey_Foucault,"Whitewater, Wisconsin, United States",,POINT (-88.73712 42.835754),POINT (100.77522 18.776703),7i36YYqKiSqVihxTcvLSBK,folk
115,Bob Franke,/wiki/Bob_Franke,,"Hamtramck, Michigan",POINT (100.77522 18.776703),POINT (-83.053264 42.394731),549lq7KH0kmFc6aGPDh4Ft,folk
116,Donavon Frankenreiter,/wiki/Donavon_Frankenreiter,"Downey, California, United States",,POINT (-118.13387 33.93656),POINT (100.77522 18.776703),2IAZ2xX1Ovh5jxhBWE7wda,folk
117,Debbie Friedman,/wiki/Debbie_Friedman,,"Utica, New York",POINT (100.77522 18.776703),POINT (-75.213888 43.098752),4q1wUtYNvarbN3rHViYKlm,folk
118,Gaia Consort,/wiki/Gaia_Consort,Seattle,,POINT (-122.331537 47.673455),POINT (100.77522 18.776703),1AJXK4InICD9BG5gM3mMcS,folk
119,Garfunkel and Oates,/wiki/Garfunkel_and_Oates,"Los Angeles, California, U.S.",,POINT (-118.25703 34.05513),POINT (100.77522 18.776703),2wZcAibn3pVsNvp95HQx8n,folk
120,Mary Gauthier,/wiki/Mary_Gauthier,,New Orleans,POINT (100.77522 18.776703),POINT (-89.889852 30.056708),4SK1IgkcWWc5HC1TOBq1VS,folk
121,Bob Gibson,/wiki/Bob_Gibson_(musician),,Brooklyn,POINT (100.77522 18.776703),POINT (-73.956582 40.652256),5WLoAqg0ZvFZhRImCFIuBE,folk
122,Ronnie Gilbert,/wiki/Ronnie_Gilbert,,"Brooklyn, New York, New York",POINT (100.77522 18.776703),POINT (-73.956582 40.652256),3eygVwHBnCJUSs5yZ6hhdN,folk
123,Eliza Gilkyson,/wiki/Eliza_Gilkyson,,"Hollywood, Los Angeles, California",POINT (100.77522 18.776703),POINT (-118.326908 34.10021),1x2vfyp8dGA84qgwb3D9QG,folk
124,Terry Gilkyson,/wiki/Terry_Gilkyson,,"Phoenixville, Pennsylvania",POINT (100.77522 18.776703),POINT (-75.522459 40.134163),6QvKZKLAUDRBn0fOtS3Gaf,folk
125,Steve Goodman,/wiki/Steve_Goodman,,"Chicago, Illinois",POINT (100.77522 18.776703),POINT (-87.66063 41.87897),0n5eyZr2XjOLUODPGZrlLB,folk
126,John Gorka,/wiki/John_Gorka,,"Colonia, New Jersey",POINT (100.77522 18.776703),POINT (-74.314682 40.592647),2MWKhzU2iggdtLs4xLTqrP,folk
127,Tracy Grammer,/wiki/Tracy_Grammer,,"Homestead, Florida, U.S.",POINT (100.77522 18.776703),POINT (-80.443032 25.460881),3VN5sD7hLy1j1RAzgHpGED,folk
128,Greenbriar Boys,/wiki/Greenbriar_Boys,"New York City, New York, U.S.",,POINT (-73.9708 40.68295),POINT (100.77522 18.776703),7xhEuOtvDtyDjvRPztjyKX,folk
129,Patty Griffin,/wiki/Patty_Griffin,"Old Town, Maine, U.S.",,POINT (-68.741329 44.949705),POINT (100.77522 18.776703),7tNLRmiAN8hpmFrbIHiHsy,folk
130,Nanci Griffith,/wiki/Nanci_Griffith,,"Seguin, Texas",POINT (100.77522 18.776703),POINT (-97.967398 29.582392),5CAiy5rDr3LaSoGtJOq6A0,folk
131,Arlo Guthrie,/wiki/Arlo_Guthrie,,Brooklyn,POINT (100.77522 18.776703),POINT (-73.956582 40.652256),0B6QEFtRnneEzb4iqjI0Nw,folk
132,Sarah Lee Guthrie,/wiki/Sarah_Lee_Guthrie,"California, United States",,POINT (-119.586168 36.531544),POINT (100.77522 18.776703),0vDFYlSoT0ODd039aKnX96,folk
133,Woody Guthrie,/wiki/Woody_Guthrie,,"Okemah, Oklahoma",POINT (100.77522 18.776703),POINT (-96.309514 35.435175),4rAgFKtlTr66ic18YZZyF1,folk
134,Kristen Hall,/wiki/Kristen_Hall,"Atlanta, Georgia, U.S.",,POINT (-84.414581 33.769805),POINT (100.77522 18.776703),0527Sy7Q2pROOs0fFWCN3M,folk
135,Frank Hamilton,/wiki/Frank_Hamilton_(musician),United States,,POINT (-96.999246 39.71614),POINT (100.77522 18.776703),4h1KKGcIKkVPfuH6K7nVYa,folk
136,Kristy Hanson,/wiki/Kristy_Hanson,"Shaker Heights, Cleveland, United States",,POINT (-81.651327 41.496551),POINT (100.77522 18.776703),5Y2qcuBccI5UhQhxtif7vQ,folk
137,Jack Hardy,/wiki/Jack_Hardy_(singer-songwriter),"Greenwich Village, New York City, U.S.",,POINT (-73.996497 40.731498),POINT (100.77522 18.776703),2NeVp4TDUH0e3LXYmAXo81,folk
138,Kelly Harrell,/wiki/Kelly_Harrell,"Virginia, United States",,POINT (-78.376655 37.73086),POINT (100.77522 18.776703),2ojv6CmzZUTS641pPo27Fd,folk
139,Bess Lomax Hawes,/wiki/Bess_Lomax_Hawes,,"Austin, Texas",POINT (100.77522 18.776703),POINT (-97.836521 30.222346),6LoF0oYc5FQIeA0Nc9LGwc,folk
140,Lee Hays,/wiki/Lee_Hays,,"Little Rock, Arkansas",POINT (100.77522 18.776703),POINT (-92.355844 34.713561),19ZejdTub8LEUGFX1kC60v,folk
141,John Herald,/wiki/John_Herald,,"New York City, New York",POINT (100.77522 18.776703),POINT (-73.9708 40.68295),3bGVjMzmXhJmFIcdkYcd7d,folk
142,Priscilla Herdman,/wiki/Priscilla_Herdman,,"Eastchester, New York",POINT (100.77522 18.776703),POINT (-73.805738 40.969253),6xv67uJihcE7lpvMVlG19a,folk
143,Carolyn Hester,/wiki/Carolyn_Hester,"Waco, Texas, United States",,POINT (-97.196228 31.561038),POINT (100.77522 18.776703),5Yy26jXSEFqj1art47bJyc,folk
144,Sara Hickman,/wiki/Sara_Hickman,,"Jacksonville, North Carolina",POINT (100.77522 18.776703),POINT (-77.419369 34.738215),2ycLfo67vYC5YJsx3e7e0c,folk
145,Anne Hills,/wiki/Anne_Hills,,Moradabad,POINT (100.77522 18.776703),POINT (78.762873 28.835952),1l0ZBi4Ua63psmX8grSrND,folk
146,David Holt,/wiki/David_Holt_(musician),,"Gatesville, Texas",POINT (100.77522 18.776703),POINT (-97.721347 31.429695),2e1nAd2hOpaHOTTgQ3SepK,folk
147,Holy Modal Rounders,/wiki/Holy_Modal_Rounders,"Lower East Side, New York, NY, USA",,POINT (-73.987323 40.717428),POINT (100.77522 18.776703),5ZjKW4JhcFuOXLpuJrr8wJ,folk
148,Rita Hosking,/wiki/Rita_Hosking,,"Davis, California",POINT (100.77522 18.776703),POINT (-121.725799 38.550067),0mTFlPTXxh8UAV04MwW7al,folk
149,Cisco Houston,/wiki/Cisco_Houston,,"Wilmington, Delaware",POINT (100.77522 18.776703),POINT (-75.512825 39.72266),1N5hj4BNumkXa8D3fyfMYE,folk
150,Michael Hurley,/wiki/Michael_Hurley_(musician),,"Bucks County, Pennsylvania",POINT (100.77522 18.776703),POINT (-75.196406 40.408713),3XHvzfKFZkSXEUiZE4WrIz,folk
151,Janis Ian,/wiki/Janis_Ian,,"Farmingdale, New Jersey",POINT (100.77522 18.776703),POINT (-74.170675 40.19918),5c9uFWpZY2MTlk7Rft0tgp,folk
152,Indigo Girls,/wiki/Indigo_Girls,"Atlanta, Georgia, United States",,POINT (-84.414581 33.769805),POINT (100.77522 18.776703),4wM29TDTr3HI0qFY3KoSFG,folk
153,Iron & Wine,/wiki/Iron_%26_Wine,,"Chapin, South Carolina",POINT (100.77522 18.776703),POINT (-81.349678 34.165697),6mdiAmATAx73kdxrNrnlao,folk
154,Bon Iver,/wiki/Bon_Iver,"Eau Claire, Wisconsin, U.S.",,POINT (-91.502276 44.818433),POINT (100.77522 18.776703),4LEiUm1SRbFMgfqnQTwUbQ,folk
155,Burl Ives,/wiki/Burl_Ives,,"Hunt City, Illinois",POINT (100.77522 18.776703),POINT (-88.01989 39.054293),0MHgLfmQdutffmvWe5XBTN,folk
156,Ella Jenkins,/wiki/Ella_Jenkins,"Chicago, Illinois, U.S.","St. Louis, Missouri",POINT (-87.66063 41.87897),POINT (-90.244086 38.633024),2AdaJlzNcOpdrvMSBN92Wp,folk
157,Jewel Kilcher,/wiki/Jewel_Kilcher,"Homer, Alaska, U.S.","Payson, Utah",POINT (-151.502169 59.644845),POINT (-111.732356 40.038758),05cqfWVtssCo3KVcqEAYG3,folk
158,Mason Jennings[1],/wiki/Mason_Jennings,"Minneapolis, Minnesota, U.S.","Honolulu, Hawaii",POINT (-93.266563 44.96313),POINT (-157.789396 21.40572),6CQrZZn0g2ZNfIcXbi4pdo,folk
159,Orville Johnson,/wiki/Orville_Johnson,,Edwardsville,POINT (100.77522 18.776703),POINT (-89.983617 38.788989),1SdW8XTCAkjTC5qt3G4EW1,folk
160,Freedy Johnston,/wiki/Freedy_Johnston,"Kinsley, Kansas",,POINT (-99.411208 37.921949),POINT (100.77522 18.776703),5aeoG3xBrai5JsTqVmmgj0,folk
161,Dick Justice,/wiki/Dick_Justice_(singer),,"East Lynn, West Virginia, [1]",POINT (100.77522 18.776703),POINT (30.01053 -30.00956),4NsftmqvmNQqMhfD5WJN7n,folk
162,Noah Kahan,/wiki/Noah_Kahan,,"Strafford, Vermont",POINT (100.77522 18.776703),POINT (-72.366819 43.869165),2RQXRUsr4IW1f3mKyKsy4B,folk
163,Lucy Kaplansky,/wiki/Lucy_Kaplansky,"Chicago, Illinois, U.S.",,POINT (-87.66063 41.87897),POINT (100.77522 18.776703),1TrFdcZHtuaF2r7vgFyfiz,folk
164,Buell Kazee,/wiki/Buell_Kazee,"Magoffin County, Kentucky, USA",,POINT (-83.067918 37.740737),POINT (100.77522 18.776703),6tcyQ0ycaAsYbjhoDOt1jd,folk
165,The Kennedys,/wiki/The_Kennedys_(band),"New York, US",,POINT (-73.9708 40.68295),POINT (100.77522 18.776703),38KVwdXUvepibtHMYKF6Bm,folk
166,Charlie King,/wiki/Charlie_King_(folksinger),,"Brockton, Massachusetts",POINT (100.77522 18.776703),POINT (-71.025192 42.084936),1Zu42Zg5rpybf2wn5G8Jn9,folk
167,The Kingston Trio,/wiki/The_Kingston_Trio,"Palo Alto, California",,POINT (-122.127302 37.431169),POINT (100.77522 18.776703),3qtcbDvdIgQOXkPbtRvBaQ,folk
168,Bonnie Koloc,/wiki/Bonnie_Koloc,"Chicago, Illinois",,POINT (-87.66063 41.87897),POINT (100.77522 18.776703),4IaGDEEdbfXdudtworAdym,folk
169,Leo Kottke,/wiki/Leo_Kottke,,"Athens, Georgia",POINT (100.77522 18.776703),POINT (-83.358855 33.95759),6cjuHeJM6CHRUhIhApwFwx,folk
170,Peter La Farge,/wiki/Peter_La_Farge,United States,,POINT (-96.999246 39.71614),POINT (100.77522 18.776703),043WRXguGXwwwPHGnNz20i,folk
171,Jimmy LaFave,/wiki/Jimmy_LaFave,,"Wills Point, Texas",POINT (100.77522 18.776703),POINT (-96.007825 32.709672),3PCC1w6AJvKLFpZbDJrsGe,folk
172,Bruce Langhorne,/wiki/Bruce_Langhorne,,"Tallahassee, Florida",POINT (100.77522 18.776703),POINT (-84.262894 30.449457),3qznYzY3OEo9gewAVrGFHr,folk
173,Patty Larkin,/wiki/Patty_Larkin,,"Des Moines, Iowa",POINT (100.77522 18.776703),POINT (-93.61043 41.574349),5Wbs3NarmOuhdA754hveyb,folk
174,Lavender Diamond,/wiki/Lavender_Diamond,"Los Angeles, California, USA",,POINT (-118.25703 34.05513),POINT (100.77522 18.776703),2Z1N9zMrbKe6emt3mhc6Kw,folk
175,Lead Belly,/wiki/Lead_Belly,,"[1], Mooringsport, Louisiana",POINT (100.77522 18.776703),POINT (87.18018 27.23006),3Ovf2lytXSXWFM2cwsJACC,folk
176,Katie Lee,/wiki/Katie_Lee_(singer),,"Aledo, Illinois",POINT (100.77522 18.776703),POINT (-90.749195 41.199297),7mKkP1VviPDyZv98EOFT67,folk
177,Julius Lester,/wiki/Julius_Lester,,"St. Louis, Missouri",POINT (100.77522 18.776703),POINT (-90.244086 38.633024),5aTwY2xyrJy4cS1jlFg1oG,folk
178,Lily and Maria,/wiki/Lily_and_Maria,"New York City, United States",,POINT (-73.9708 40.68295),POINT (100.77522 18.776703),1Iigbsm3q7W1uYsngWLxWJ,folk
179,The Limeliters,/wiki/The_Limeliters,"Los Angeles, CaliforniaUnited States[1]",,POINT (-118.25703 34.05513),POINT (100.77522 18.776703),08Zx5pufnilNAjm28CauiH,folk
180,Alan Lomax,/wiki/Alan_Lomax,,Austin,POINT (100.77522 18.776703),POINT (-97.836521 30.222346),1u8YzEYh6gvvFog95WtAao,folk
181,Laura Love,/wiki/Laura_Love_(musician),,"Lincoln, Nebraska",POINT (100.77522 18.776703),POINT (-96.669266 40.817753),1fcl0zZe6uWTKJt57TZOaH,folk
182,Woody Mann,/wiki/Woody_Mann,,New York City,POINT (100.77522 18.776703),POINT (-73.9708 40.68295),3lEqWbIKIfQy7Wl36z04Cd,folk
183,Roger Manning,/wiki/Roger_Manning,New York City,[1],POINT (-73.9708 40.68295),POINT (87.18018 27.23006),7bi8x4Ms2FZ74J6c1qaYLw,folk
184,Ed McCurdy,/wiki/Ed_McCurdy,,"Willow Hill, Pennsylvania",POINT (100.77522 18.776703),POINT (-77.838617 40.860198),4YnvE72EzUsNg2fGvRPX80,folk
185,John McCutcheon,/wiki/John_McCutcheon,,"Wausau, Wisconsin",POINT (100.77522 18.776703),POINT (-89.636599 44.963489),0TzlaraGqiaAfTjqTh96dc,folk
186,Brownie McGhee,/wiki/Brownie_McGhee,,"Knoxville, Tennessee",POINT (100.77522 18.776703),POINT (-83.969472 35.973011),3qXzj7WzBV3kwy1yEV1RcC,folk
187,Lori McKenna,/wiki/Lori_McKenna,,"[1], Stoughton, Massachusetts",POINT (100.77522 18.776703),POINT (87.18018 27.23006),1OV5mEATxtVma7fleFaUyl,folk
188,Will McLean,/wiki/Will_McLean,,Chipley,POINT (100.77522 18.776703),POINT (-97.03582 28.78666),5kCu7POOERJVJuIiaExiLu,folk
189,Melanie,/wiki/Melanie_(singer),,"Queens, New York City",POINT (100.77522 18.776703),POINT (-73.805154 40.718804),63yrD80RY3RNEM2YDpUpO8,folk
190,Ingrid Michaelson,/wiki/Ingrid_Michaelson,,[2],POINT (100.77522 18.776703),POINT (85.61 26.94242),2vm8GdHyrJh2O2MfbQFYG0,folk
191,Roger Miller,/wiki/Roger_Miller,,"Fort Worth, Texas",POINT (100.77522 18.776703),POINT (-97.33181 32.729442),1RP2UpEaRzkF0Id3JigqD8,folk
192,Anaïs Mitchell,/wiki/Ana%C3%AFs_Mitchell,"Montpelier, Vermont, U.S.",,POINT (-72.57541 44.263716),POINT (100.77522 18.776703),7K5Lm5dxoEwEpOS0Fc3l3s,folk
193,Modern Folk Quartet,/wiki/Modern_Folk_Quartet,"Honolulu, Hawaii, U.S.",,POINT (-157.789396 21.40572),POINT (100.77522 18.776703),59X1CgTPQ9X7ul7hqJa33t,folk
194,Alastair Moock,/wiki/Alastair_Moock,"Boston, Massachusetts, United States",,POINT (-71.048611 42.355492),POINT (100.77522 18.776703),5NwLASbIjDj6FUgaEa1NMz,folk
195,Bill Morrissey,/wiki/Bill_Morrissey,,"Hartford, Connecticut",POINT (100.77522 18.776703),POINT (-72.690228 41.765566),0Uz5dRNDckEVy2sLjqBJBq,folk
196,Jason Mraz,/wiki/Jason_Mraz,,"Mechanicsville, Virginia",POINT (100.77522 18.776703),POINT (-77.365716 37.629118),4phGZZrJZRo4ElhRtViYdl,folk
197,Moxy Früvous,/wiki/Moxy_Fr%C3%BCvous,"Thornhill, Ontario, Canada",,POINT (-79.429779 43.820285),POINT (100.77522 18.776703),0BNlQMIqqy5qIxSL9aph4u,folk
198,Geoff Muldaur,/wiki/Geoff_Muldaur,,"Pelham, New York",POINT (100.77522 18.776703),POINT (-73.807569 40.911196),4sMx1e0u3YtLawVuN3RsFD,folk
199,Holly Near,/wiki/Holly_Near,,"Ukiah, California",POINT (100.77522 18.776703),POINT (-123.20744 39.147123),55coNbEHd5rBUgUIXyUVNW,folk
200,Fred Neil,/wiki/Fred_Neil,,Cleveland,POINT (100.77522 18.776703),POINT (-81.651327 41.496551),3xmUdkZUQbtMM62XP4nnb6,folk
201,The New Christy Minstrels,/wiki/The_New_Christy_Minstrels,United States,,POINT (-96.999246 39.71614),POINT (100.77522 18.776703),77OdfWXrYy6DcYPzmUOr6a,folk
202,Carrie Newcomer,/wiki/Carrie_Newcomer,,Dowagiac,POINT (100.77522 18.776703),POINT (-86.111209 41.984194),5RsLS2CnzkMCGfl3FobdUR,folk
203,Joanna Newsom,/wiki/Joanna_Newsom,,"Grass Valley, California",POINT (100.77522 18.776703),POINT (-121.055374 39.227706),4gn6f5jaOO75s0oF7ozqGG,folk
204,Nickel Creek,/wiki/Nickel_Creek,"Carlsbad, California, U.S.",,POINT (-117.288417 33.121741),POINT (100.77522 18.776703),3bcLBxvaI7GsBzGp3WHnwQ,folk
